date,volume_t-1,volume
2015-06-18,1865267,1865267
2015-06-19,2658779,2658779
2015-06-22,3909250,3909250
2015-06-23,2053553,2053553
2015-06-24,6127695,6127695
2015-06-25,5265822,5265822
2015-06-26,3350458,3350458
2015-06-29,2516360,2516360
2015-06-30,3037436,3037436
2015-07-01,4486572,4486572
2015-07-02,2160799,2160799
2015-07-06,2509428,2509428
2015-07-07,2927761,2927761
2015-07-08,3390976,3390976
2015-07-09,2237945,2237945
2015-07-10,2107093,2107093
2015-07-13,1579730,1579730
2015-07-14,2801301,2801301
2015-07-15,2247745,2247745
2015-07-16,1826485,1826485
2015-07-17,2412373,2412373
2015-07-20,1155252,1155252
2015-07-21,1160904,1160904
2015-07-22,2949376,2949376
2015-07-23,1708801,1708801
2015-07-24,1844946,1844946
2015-07-27,5261424,5261424
2015-07-28,2768225,2768225
2015-07-29,2014066,2014066
2015-07-30,2440415,2440415
2015-07-31,2247715,2247715
2015-08-03,2104591,2104591
2015-08-04,1448062,1448062
2015-08-05,949479,949479
2015-08-06,1932226,1932226
2015-08-07,1513076,1513076
2015-08-10,1554542,1554542
2015-08-11,1575708,1575708
2015-08-12,3440282,3440282
2015-08-13,2848895,2848895
2015-08-14,2632739,2632739
2015-08-17,3302058,3302058
2015-08-18,6416891,6416891
2015-08-19,2730429,2730429
2015-08-20,2145028,2145028
2015-08-21,3828206,3828206
2015-08-24,4114990,4114990
2015-08-25,3802732,3802732
2015-08-26,3233814,3233814
2015-08-27,2406297,2406297
2015-08-28,1783861,1783861
2015-08-31,2554666,2554666
2015-09-01,2954093,2954093
2015-09-02,2119191,2119191
2015-09-03,2140822,2140822
2015-09-04,2819027,2819027
2015-09-08,1787408,1787408
2015-09-09,1885293,1885293
2015-09-10,1628726,1628726
2015-09-11,1443721,1443721
2015-09-14,2223319,2223319
2015-09-15,1752721,1752721
2015-09-16,2130117,2130117
2015-09-17,1819067,1819067
2015-09-18,3352296,3352296
2015-09-21,2640363,2640363
2015-09-22,2283337,2283337
2015-09-23,1962552,1962552
2015-09-24,2028940,2028940
2015-09-25,2730672,2730672
2015-09-28,2615440,2615440
2015-09-29,2252364,2252364
2015-09-30,2545749,2545749
2015-10-01,3011460,3011460
2015-10-02,3519448,3519448
2015-10-05,1675429,1675429
2015-10-06,1833679,1833679
2015-10-07,3089575,3089575
