date,open_t-13,volume_t-12,high_t-11,volume_t-11,volume_t-1,volume
2014-10-09,57.25,1650529,57.99,1629584,2526263,2526263
2014-10-10,56.88,1629584,56.94,2218441,5133638,5133638
2014-10-13,57.86,2218441,57.179,1626565,2527277,2527277
2014-10-14,56.79,1626565,57.4,2120557,3972861,3972861
2014-10-15,56.04,2120557,56.93,2481276,4723905,4723905
2014-10-16,57.21,2481276,56.24,1708052,5362096,5362096
2014-10-17,56.85,1708052,57.01,1577280,3810818,3810818
2014-10-20,56.13,1577280,57.16,1157370,4942206,4942206
2014-10-21,56.23,1157370,56.33,1515558,2231876,2231876
2014-10-22,57.06,1515558,56.52,2124682,2161086,2161086
2014-10-23,56.25,2124682,56.28,2526263,1754719,1754719
2014-10-24,55.06,2526263,55.02,5133638,1508194,1508194
2014-10-27,56.28,5133638,54.23,2527277,1105293,1105293
2014-10-28,54.91,2527277,53.39,3972861,1714329,1714329
2014-10-29,53.73,3972861,51.88,4723905,1484268,1484268
2014-10-30,53.04,4723905,52.12,5362096,2504261,2504261
2014-10-31,50.87,5362096,53.41,3810818,2087828,2087828
2014-11-03,50.78,3810818,52.38,4942206,4559916,4559916
2014-11-04,52.17,4942206,54.03,2231876,5765189,5765189
2014-11-05,52.07,2231876,53.86,2161086,2341387,2341387
2014-11-06,52.86,2161086,54.21,1754719,2968264,2968264
2014-11-07,53.77,1754719,54.11,1508194,2458734,2458734
2014-11-10,53.59,1508194,54.11,1105293,2583931,2583931
2014-11-11,53.7,1105293,54.67,1714329,2163823,2163823
2014-11-12,53.94,1714329,54.68,1484268,2504261,2504261
2014-11-13,54.12,1484268,54.38,2504261,1805461,1805461
2014-11-14,54.59,2504261,55.41,2087828,1331282,1331282
2014-11-17,53.91,2087828,41.24,4559916,2697164,2697164
2014-11-18,55.21,4559916,40.83,5765189,5891377,5891377
2014-11-19,39.9,5765189,40.67,2341387,4012147,4012147
2014-11-20,40.26,2341387,41.405,2968264,2303826,2303826
2014-11-21,40.61,2968264,41.48,2458734,5306170,5306170
2014-11-24,40.39,2458734,41.55,2583931,2122424,2122424
2014-11-25,41.39,2583931,42.11,2163823,2713879,2713879
2014-11-26,40.98,2163823,41.54,2504261,1752695,1752695
2014-11-28,41.52,2504261,41.74,1805461,1091780,1091780
2014-12-01,41.3,1805461,41.65,1331282,4411159,4411159
2014-12-02,41.55,1331282,41.7,2697164,2014436,2014436
2014-12-03,41.36,2697164,41.16,5891377,2250275,2250275
2014-12-04,41.57,5891377,41.33,4012147,1346823,1346823
2014-12-05,40.25,4012147,41.427,2303826,1019549,1019549
2014-12-08,40.82,2303826,42.38,5306170,1425753,1425753
2014-12-09,40.56,5306170,42.5,2122424,1803210,1803210
2014-12-10,41.75,2122424,42.87,2713879,2654911,2654911
2014-12-11,42.44,2713879,42.865,1752695,1640864,1640864
2014-12-12,42.33,1752695,42.985,1091780,2335765,2335765
2014-12-15,42.68,1091780,42.73,4411159,4510349,4510349
2014-12-16,42.74,4411159,42.1,2014436,3849394,3849394
2014-12-17,42.69,2014436,42.37,2250275,3508188,3508188
2014-12-18,41.6,2250275,42.68,1346823,3104066,3104066
2014-12-19,41.98,1346823,42.49,1019549,3736336,3736336
2014-12-22,42.15,1019549,42.51,1425753,1590221,1590221
2014-12-23,42.23,1425753,41.43,1803210,1872341,1872341
2014-12-24,42.23,1803210,41.36,2654911,1426901,1426901
2014-12-26,40.99,2654911,41.18,1640864,588034,588034
2014-12-29,41.36,1640864,40.62,2335765,976423,976423
2014-12-30,40.5,2335765,40.17,4510349,1323452,1323452
2014-12-31,40.2,4510349,39.48,3849394,1423993,1423993
2015-01-02,40.07,3849394,39.99,3508188,1530798,1530798
2015-01-05,38.3,3508188,40.8,3104066,2042240,2042240
2015-01-06,38.34,3104066,41.43,3736336,2084562,2084562
2015-01-07,40.48,3736336,41.88,1590221,3359660,3359660
2015-01-08,40.9,1590221,42.01,1872341,2116341,2116341
2015-01-09,41.38,1872341,41.525,1426901,1644939,1644939
2015-01-12,41.98,1426901,41.57,588034,2771191,2771191
2015-01-13,41.42,588034,41.57,976423,2013474,2013474
2015-01-14,41.34,976423,41.59,1323452,5134006,5134006
2015-01-15,41.36,1323452,41.79,1423993,2630296,2630296
2015-01-16,41.21,1423993,41.31,1530798,3003980,3003980
2015-01-20,41.39,1530798,40.46,2042240,5033605,5033605
2015-01-21,41.18,2042240,40.02,2084562,2721609,2721609
2015-01-22,40.32,2084562,39.81,3359660,4856573,4856573
2015-01-23,39.81,3359660,40.98,2116341,1519250,1519250
