date,volume_t-1,low_t-18,volume_t-2,volume_t-4,volume_t-11,volume
2014-06-26,1102367,56.68,1060501,1435625,1677989,1102367
2014-06-27,1519046,56.96,1102367,1125825,1054865,1519046
2014-06-30,1314906,57.41,1519046,1060501,1174434,1314906
2014-07-01,2010785,58.37,1314906,1102367,1328510,2010785
2014-07-02,1414957,58.7,2010785,1519046,1114749,1414957
2014-07-03,600744,58.58,1414957,1314906,3149546,600744
2014-07-07,949243,58.31,600744,2010785,2029378,949243
2014-07-08,1615912,58.2,949243,1414957,1435625,1615912
2014-07-09,1278504,58.18,1615912,600744,1125825,1278504
2014-07-10,1189340,58.15,1278504,949243,1060501,1189340
2014-07-11,1183288,58.1901,1189340,1615912,1102367,1183288
2014-07-14,1487761,58.53,1183288,1278504,1519046,1487761
2014-07-15,2094496,58.15,1487761,1189340,1314906,2094496
2014-07-16,1868521,57.84,2094496,1183288,2010785,1868521
2014-07-17,4404085,57.97,1868521,1487761,1414957,4404085
2014-07-18,1706174,57.58,4404085,2094496,600744,1706174
2014-07-21,1983914,57.41,1706174,1868521,949243,1983914
2014-07-22,2411722,57.4,1983914,4404085,1615912,2411722
2014-07-23,1453645,57.175,2411722,1706174,1278504,1453645
2014-07-24,2534358,57.18,1453645,1983914,1189340,2534358
2014-07-25,1719615,57.38,2534358,2411722,1183288,1719615
2014-07-28,1510223,57.78,1719615,1453645,1487761,1510223
2014-07-29,2003109,58.021,1510223,2534358,2094496,2003109
2014-07-30,1371335,57.85,2003109,1719615,1868521,1371335
2014-07-31,2708121,56.92,1371335,1510223,4404085,2708121
2014-08-01,957560,56.52,2708121,2003109,1706174,957560
2014-08-04,957560,56.01,957560,1371335,1983914,957560
2014-08-05,1733728,56.15,957560,2708121,2411722,1733728
2014-08-06,1568834,56.6175,1733728,957560,1453645,1568834
2014-08-07,1628472,56.15,1568834,957560,2534358,1628472
2014-08-08,1766002,56.83,1628472,1733728,1719615,1766002
2014-08-11,1252725,55.135,1766002,1568834,1510223,1252725
2014-08-12,2642075,55.29,1252725,1628472,2003109,2642075
2014-08-13,1721261,55.79,2642075,1766002,1371335,1721261
2014-08-14,3478558,56.95,1721261,1252725,2708121,3478558
2014-08-15,5578794,57.445,3478558,2642075,957560,5578794
2014-08-18,2761606,56.71,5578794,1721261,957560,2761606
2014-08-19,1192963,56.35,2761606,3478558,1733728,1192963
2014-08-20,1846569,55.89,1192963,5578794,1568834,1846569
2014-08-21,1228385,55.875,1846569,2761606,1628472,1228385
2014-08-22,1439567,56.02,1228385,1192963,1766002,1439567
2014-08-25,967137,55.83,1439567,1846569,1252725,967137
2014-08-26,888727,55.59,967137,1228385,2642075,888727
2014-08-27,1193004,55.59,888727,1439567,1721261,1193004
2014-08-28,1395449,55.1,1193004,967137,3478558,1395449
2014-08-29,1979934,54.9,1395449,888727,5578794,1979934
2014-09-02,2015566,54.98,1979934,1193004,2761606,2015566
2014-09-03,1478032,54.86,2015566,1395449,1192963,1478032
2014-09-04,790594,55.06,1478032,1979934,1846569,790594
2014-09-05,908184,54.3,790594,2015566,1228385,908184
2014-09-08,1345766,54.189,908184,1478032,1439567,1345766
2014-09-09,1286053,54.45,1345766,790594,967137,1286053
2014-09-10,1477856,57.35,1286053,908184,888727,1477856
2014-09-11,995855,57.35,1477856,1345766,1193004,995855
2014-09-12,2590395,58.16,995855,1286053,1395449,2590395
2014-09-15,1621086,57.94,2590395,1477856,1979934,1621086
2014-09-16,1379832,57.97,1621086,995855,2015566,1379832
2014-09-17,2710468,57.48,1379832,2590395,1478032,2710468
2014-09-18,2867046,57.58,2710468,1621086,790594,2867046
2014-09-19,2173992,57.5377,2867046,1379832,908184,2173992
2014-09-22,1686631,57.29,2173992,2710468,1345766,1686631
2014-09-23,1632282,56.98,1686631,2867046,1286053,1632282
2014-09-24,1650529,57.08,1632282,2173992,1477856,1650529
2014-09-25,1629584,57.23,1650529,1686631,995855,1629584
2014-09-26,2218441,57.88,1629584,1632282,2590395,2218441
2014-09-29,1626565,57.6,2218441,1650529,1621086,1626565
2014-09-30,2120557,57.3,1626565,1629584,1379832,2120557
2014-10-01,2481276,57.495,2120557,2218441,2710468,2481276
2014-10-02,1708052,57.45,2481276,1626565,2867046,1708052
2014-10-03,1577280,57.175,1708052,2120557,2173992,1577280
2014-10-06,1157370,57.41,1577280,2481276,1686631,1157370
2014-10-07,1515558,57.61,1157370,1708052,1632282,1515558
2014-10-08,2124682,57.74,1515558,1577280,1650529,2124682
2014-10-09,2526263,57.37,2124682,1157370,1629584,2526263
2014-10-10,5133638,57.92,2526263,1515558,2218441,5133638
2014-10-13,2527277,58.31,5133638,2124682,1626565,2527277
2014-10-14,3972861,58.1,2527277,2526263,2120557,3972861
2014-10-15,4723905,57.27,3972861,5133638,2481276,4723905
2014-10-16,5362096,56.91,4723905,2527277,1708052,5362096
2014-10-17,3810818,56.78,5362096,3972861,1577280,3810818
2014-10-20,4942206,56.89,3810818,4723905,1157370,4942206
