date,volume_t-18,volume_t-19,volume
2014-12-10,1331282,1805461,2654911
2014-12-11,2697164,1331282,1640864
2014-12-12,5891377,2697164,2335765
2014-12-15,4012147,5891377,4510349
2014-12-16,2303826,4012147,3849394
2014-12-17,5306170,2303826,3508188
2014-12-18,2122424,5306170,3104066
2014-12-19,2713879,2122424,3736336
2014-12-22,1752695,2713879,1590221
2014-12-23,1091780,1752695,1872341
2014-12-24,4411159,1091780,1426901
2014-12-26,2014436,4411159,588034
2014-12-29,2250275,2014436,976423
2014-12-30,1346823,2250275,1323452
2014-12-31,1019549,1346823,1423993
2015-01-02,1425753,1019549,1530798
2015-01-05,1803210,1425753,2042240
2015-01-06,2654911,1803210,2084562
2015-01-07,1640864,2654911,3359660
2015-01-08,2335765,1640864,2116341
2015-01-09,4510349,2335765,1644939
2015-01-12,3849394,4510349,2771191
2015-01-13,3508188,3849394,2013474
2015-01-14,3104066,3508188,5134006
2015-01-15,3736336,3104066,2630296
2015-01-16,1590221,3736336,3003980
2015-01-20,1872341,1590221,5033605
2015-01-21,1426901,1872341,2721609
2015-01-22,588034,1426901,4856573
2015-01-23,976423,588034,1519250
2015-01-26,1323452,976423,1511214
2015-01-27,1423993,1323452,1703508
2015-01-28,1530798,1423993,2033523
2015-01-29,2042240,1530798,2329983
2015-01-30,2084562,2042240,3054313
2015-02-02,3359660,2084562,2508493
2015-02-03,2116341,3359660,2950375
2015-02-04,1644939,2116341,2567439
2015-02-05,2771191,1644939,1826367
2015-02-06,2013474,2771191,2697212
2015-02-09,5134006,2013474,3586102
2015-02-10,2630296,5134006,1408747
2015-02-11,3003980,2630296,3337005
2015-02-12,5033605,3003980,1317705
2015-02-13,2721609,5033605,2211931
2015-02-17,4856573,2721609,2875788
2015-02-18,1519250,4856573,9007218
2015-02-19,1511214,1519250,3737331
2015-02-20,1703508,1511214,2971880
2015-02-23,2033523,1703508,1967913
2015-02-24,2329983,2033523,1922102
2015-02-25,3054313,2329983,2343479
2015-02-26,2508493,3054313,1505418
2015-02-27,2950375,2508493,1676351
2015-03-02,2567439,2950375,1847082
2015-03-03,1826367,2567439,1635437
2015-03-04,2697212,1826367,1305992
2015-03-05,3586102,2697212,1376468
2015-03-06,1408747,3586102,1528564
2015-03-09,3337005,1408747,1492378
2015-03-10,1317705,3337005,1961299
2015-03-11,2211931,1317705,2064355
2015-03-12,2875788,2211931,2719895
2015-03-13,9007218,2875788,4704560
2015-03-16,3737331,9007218,2551437
2015-03-17,2971880,3737331,1504881
2015-03-18,1967913,2971880,1295556
2015-03-19,1922102,1967913,1085684
2015-03-20,2343479,1922102,2315472
2015-03-23,1505418,2343479,1835393
2015-03-24,1676351,1505418,3625952
2015-03-25,1847082,1676351,2776181
2015-03-26,1635437,1847082,1573740
2015-03-27,1305992,1635437,1932749
2015-03-30,1376468,1305992,2064181
2015-03-31,1528564,1376468,1659179
2015-04-01,1492378,1528564,2170331
2015-04-02,1961299,1492378,2135918
2015-04-06,2064355,1961299,2379808
2015-04-07,2719895,2064355,3072418
2015-04-08,4704560,2719895,2443178
2015-04-09,2551437,4704560,1332519
2015-04-10,1504881,2551437,3370597
2015-04-13,1295556,1504881,3708641
2015-04-14,1085684,1295556,1777705
2015-04-15,2315472,1085684,1445622
2015-04-16,1835393,2315472,1070232
2015-04-17,3625952,1835393,2333369
2015-04-20,2776181,3625952,1410574
2015-04-21,1573740,2776181,1719710
2015-04-22,1932749,1573740,2726140
2015-04-23,2064181,1932749,3973179
2015-04-24,1659179,2064181,2200155
2015-04-27,2170331,1659179,2298298
2015-04-28,2135918,2170331,1803453
2015-04-29,2379808,2135918,2160963
2015-04-30,3072418,2379808,1726312
2015-05-01,2443178,3072418,1880177
2015-05-04,1332519,2443178,1073820
